,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,400.0,0.97,1.0,2.2250268465634364
1,1.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,400.0,0.99,1.0,2.0299877030862494
2,2.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,400.0,0.993,1.0,1.9271350998082004
3,3.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,400.0,0.995,1.0,1.8757554174849163
4,4.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,400.0,0.997,1.0,1.9457062907567075
5,5.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,600.0,0.97,1.0,2.188134226051084
6,6.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,600.0,0.99,1.0,1.988051157438143
7,7.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,600.0,0.993,1.0,1.9580503797116633
8,8.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,600.0,0.995,1.0,1.8332472450783757
9,9.0,1.0,1.0,127.0,424.0,0.007,1.0,1.0,600.0,0.997,1.0,1.6674484524132425
10,10.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,400.0,0.97,1.0,2.3889297911760234
11,11.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,400.0,0.99,1.0,1.915702316611563
12,12.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,400.0,0.993,1.0,1.8104898596342587
13,13.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,400.0,0.995,1.0,1.7116891592396877
14,14.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,400.0,0.997,1.0,1.6826816315119366
15,15.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,600.0,0.97,1.0,1.953933794875201
16,16.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,600.0,0.99,1.0,1.7401860684194952
17,17.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,600.0,0.993,1.0,1.5856718855901624
18,18.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,600.0,0.995,1.0,1.5357068963563367
19,19.0,1.0,1.0,127.0,424.0,0.007,1.0,2.0,600.0,0.997,1.0,1.5060962647450085
20,20.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,400.0,0.97,1.0,2.474902003524493
21,21.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,400.0,0.99,1.0,1.954397842768467
22,22.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,400.0,0.993,1.0,1.7844921556239617
23,23.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,400.0,0.995,1.0,1.6995054846894868
24,24.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,400.0,0.997,1.0,1.6193021434856174
25,25.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,600.0,0.97,1.0,2.1442423184848725
26,26.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,600.0,0.99,1.0,1.6856388841098144
27,27.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,600.0,0.993,1.0,1.596704994828287
28,28.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,600.0,0.995,1.0,1.5321366696148406
29,29.0,1.0,1.0,127.0,424.0,0.007,1.0,3.0,600.0,0.997,1.0,1.466124298283255
30,30.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,400.0,0.97,1.0,2.6968466610177035
31,31.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,400.0,0.99,1.0,2.0312469487827265
32,32.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,400.0,0.993,1.0,1.8329678908369813
33,33.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,400.0,0.995,1.0,1.704612904904836
34,34.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,400.0,0.997,1.0,1.59995602960874
35,35.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,600.0,0.97,1.0,2.31677776029231
36,36.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,600.0,0.99,1.0,1.7897031760056406
37,37.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,600.0,0.993,1.0,1.6267162622935605
38,38.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,600.0,0.995,1.0,1.5208087326080446
39,39.0,1.0,1.0,127.0,424.0,0.007,1.0,4.0,600.0,0.997,1.0,1.4439259277825673
40,40.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,400.0,0.97,1.0,1.9364670361745029
41,41.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,400.0,0.99,1.0,1.806551143639956
42,42.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,400.0,0.993,1.0,1.7751069839464748
43,43.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,400.0,0.995,1.0,1.7839560980814235
44,44.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,400.0,0.997,1.0,1.905266045100915
45,45.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,600.0,0.97,1.0,1.9990948396806134
46,46.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,600.0,0.99,1.0,1.9547452592533314
47,47.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,600.0,0.993,1.0,1.8765160689083116
48,48.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,600.0,0.995,1.0,1.7701847024676987
49,49.0,1.0,1.0,127.0,424.0,0.007,2.0,1.0,600.0,0.997,1.0,1.6499748261396143
50,50.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,400.0,0.97,1.0,1.891479146052395
51,51.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,400.0,0.99,1.0,1.7201174927456149
52,52.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,400.0,0.993,1.0,1.678061609746365
53,53.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,400.0,0.995,1.0,1.6575964945377504
54,54.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,400.0,0.997,1.0,1.6839375286586145
55,55.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,600.0,0.97,1.0,1.7587108432012875
56,56.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,600.0,0.99,1.0,1.6534132047703
57,57.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,600.0,0.993,1.0,1.5572705129484397
58,58.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,600.0,0.995,1.0,1.5177542006226423
59,59.0,1.0,1.0,127.0,424.0,0.007,2.0,2.0,600.0,0.997,1.0,1.5061437821487818
60,60.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,400.0,0.97,1.0,2.021482961172043
61,61.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,400.0,0.99,1.0,1.6394567820660257
62,62.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,400.0,0.993,1.0,1.5789748326865343
63,63.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,400.0,0.995,1.0,1.5626000253487922
64,64.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,400.0,0.997,1.0,1.5815444016703093
65,65.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,600.0,0.97,1.0,1.8254789362650397
66,66.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,600.0,0.99,1.0,1.5606829005125185
67,67.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,600.0,0.993,1.0,1.5008853838612777
68,68.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,600.0,0.995,1.0,1.4650264942691016
69,69.0,1.0,1.0,127.0,424.0,0.007,2.0,3.0,600.0,0.997,1.0,1.4372481387910496
70,70.0,1.0,1.0,127.0,424.0,0.007,2.0,4.0,400.0,0.97,1.0,2.2096553603587124
