,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.97,1.0,1.7116969982638937
1,1.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.99,1.0,1.6645588720189521
2,2.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.993,1.0,1.6330125901433243
3,3.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,1.5929550108285662
4,4.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.997,1.0,1.538211801587353
5,5.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.97,1.0,1.7413123928458794
6,6.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.99,1.0,1.692730580529517
7,7.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.993,1.0,1.660473225191143
8,8.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.995,1.0,1.6177633535104272
9,9.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.997,1.0,1.5696575851612402
10,10.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.97,1.0,1.6008696080681002
11,11.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.99,1.0,1.4280161120562735
12,12.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.993,1.0,1.4049856172326085
13,13.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.3922735621054712
14,14.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.3849774841134972
15,15.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.97,1.0,1.6230073036806343
16,16.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.99,1.0,1.4417156396565711
17,17.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,1.4258041312256926
18,18.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,1.4126407934164706
19,19.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.997,1.0,1.3969461936657883
20,20.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.97,1.0,1.459492629060302
21,21.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,1.4491445859505405
22,22.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.993,1.0,1.4390726628057264
23,23.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,1.4236606189857377
24,24.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.997,1.0,1.4471779441762924
25,25.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.97,1.0,1.4602033273072998
26,26.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,1.4697563561412033
27,27.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.993,1.0,1.461949433919485
28,28.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.995,1.0,1.4400822720937376
29,29.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.464532814528541
30,30.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.97,1.0,1.428867227989654
31,31.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.99,1.0,1.4350463685399206
32,32.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.993,1.0,1.4314360085123046
33,33.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,1.4233880613771333
34,34.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.997,1.0,1.4364473317674677
35,35.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.97,1.0,1.4288674092213185
36,36.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.99,1.0,1.4547778814569106
37,37.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.993,1.0,1.4489724923034175
38,38.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.995,1.0,1.4424782892070374
39,39.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,1.4521566607729113
40,40.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.97,1.0,1.789576628454385
41,41.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.99,1.0,1.7414060805545784
42,42.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.993,1.0,1.7164509934892793
43,43.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.995,1.0,1.6755229296759018
44,44.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,1.614008704641577
45,45.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,600.0,0.97,1.0,1.8285439802542078
46,46.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,600.0,0.99,1.0,1.7779651525239855
