,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.003,1.0,200.0,3.168393412585068
1,1.0,1.0,1.0,127.0,424.0,0.003,1.0,400.0,2.427997124770231
2,2.0,1.0,1.0,127.0,424.0,0.003,1.0,600.0,2.027523950964141
3,3.0,1.0,1.0,127.0,424.0,0.003,1.0,800.0,1.8407817103755368
4,4.0,1.0,1.0,127.0,424.0,0.003,2.0,200.0,2.794562802523445
5,5.0,1.0,1.0,127.0,424.0,0.003,2.0,400.0,2.0285939066080707
6,6.0,1.0,1.0,127.0,424.0,0.003,2.0,600.0,1.7907273545546407
7,7.0,1.0,1.0,127.0,424.0,0.003,2.0,800.0,1.7537895619327086
8,8.0,1.0,1.0,127.0,424.0,0.003,3.0,200.0,2.7594116319088746
9,9.0,1.0,1.0,127.0,424.0,0.003,3.0,400.0,1.9907669622734123
10,10.0,1.0,1.0,127.0,424.0,0.003,3.0,600.0,1.7739773608431997
11,11.0,1.0,1.0,127.0,424.0,0.003,3.0,800.0,1.7538054128738527
12,12.0,1.0,1.0,127.0,424.0,0.003,4.0,200.0,2.7594116319088746
13,13.0,1.0,1.0,127.0,424.0,0.003,4.0,400.0,1.9909046379286919
14,14.0,1.0,1.0,127.0,424.0,0.003,4.0,600.0,1.775539132800316
15,15.0,1.0,1.0,127.0,424.0,0.003,4.0,800.0,1.7541959682541863
16,16.0,1.0,1.0,127.0,424.0,0.003,5.0,200.0,2.7594116319088746
17,17.0,1.0,1.0,127.0,424.0,0.003,5.0,400.0,1.9909034300558714
18,18.0,1.0,1.0,127.0,424.0,0.003,5.0,600.0,1.7755874311052968
19,19.0,1.0,1.0,127.0,424.0,0.003,5.0,800.0,1.7536644352445734
20,20.0,1.0,1.0,127.0,424.0,0.003,6.0,200.0,2.7594116319088746
21,21.0,1.0,1.0,127.0,424.0,0.003,6.0,400.0,1.990903820177201
22,22.0,1.0,1.0,127.0,424.0,0.003,6.0,600.0,1.7755788315885659
23,23.0,1.0,1.0,127.0,424.0,0.003,6.0,800.0,1.7541240572929901
24,24.0,1.0,1.0,127.0,424.0,0.005,1.0,200.0,2.629663606051594
25,25.0,1.0,1.0,127.0,424.0,0.005,1.0,400.0,1.9454192009447127
26,26.0,1.0,1.0,127.0,424.0,0.005,1.0,600.0,1.7726311950355538
27,27.0,1.0,1.0,127.0,424.0,0.005,1.0,800.0,1.7617790584703608
28,28.0,1.0,1.0,127.0,424.0,0.005,2.0,200.0,2.197737255295672
29,29.0,1.0,1.0,127.0,424.0,0.005,2.0,400.0,1.7664443456959704
30,30.0,1.0,1.0,127.0,424.0,0.005,2.0,600.0,1.7706478020723193
31,31.0,1.0,1.0,127.0,424.0,0.005,2.0,800.0,1.8048394048864334
32,32.0,1.0,1.0,127.0,424.0,0.005,3.0,200.0,2.160800540079966
33,33.0,1.0,1.0,127.0,424.0,0.005,3.0,400.0,1.7560200425444181
34,34.0,1.0,1.0,127.0,424.0,0.005,3.0,600.0,1.7773608307142248
35,35.0,1.0,1.0,127.0,424.0,0.005,3.0,800.0,1.8080882992443112
36,36.0,1.0,1.0,127.0,424.0,0.005,4.0,200.0,2.1608186700663037
37,37.0,1.0,1.0,127.0,424.0,0.005,4.0,400.0,1.7573096253821674
38,38.0,1.0,1.0,127.0,424.0,0.005,4.0,600.0,1.777340736679967
39,39.0,1.0,1.0,127.0,424.0,0.005,4.0,800.0,1.807250927337033
