,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.97,1.0,6.576147642198823
1,1.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.99,1.0,6.456016677545351
2,2.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.993,1.0,6.372189313333651
3,3.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.995,1.0,6.334570339130769
4,4.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.997,1.0,6.293808787037804
5,5.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.97,1.0,6.738377839342117
6,6.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,6.620774401159396
7,7.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,6.586248349588777
8,8.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,6.525093756515154
9,9.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.997,1.0,6.52756886149778
10,10.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.97,1.0,6.4594212405198075
11,11.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.99,1.0,6.401873040475401
12,12.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.993,1.0,6.426826598030393
13,13.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.995,1.0,6.402331499278345
14,14.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.997,1.0,6.342083211771973
15,15.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.97,1.0,6.6720176358242105
16,16.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,6.698568754418015
17,17.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,6.557963326629321
18,18.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,6.556034392313874
19,19.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.997,1.0,6.539304857165558
20,20.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.97,1.0,6.609726596788743
21,21.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.99,1.0,6.621793912600532
22,22.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.993,1.0,6.513161400809538
23,23.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,6.5248594722064555
24,24.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,400.0,0.997,1.0,6.431319406374731
25,25.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.97,1.0,6.710724198575955
26,26.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,6.847083556497236
27,27.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.993,1.0,6.682541638698635
28,28.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.995,1.0,6.634616182070976
29,29.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.997,1.0,6.714865471595595
