,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.97,1.0,6.842700960308706
1,1.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,6.724184563003005
2,2.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,6.727609397640324
3,3.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,6.705469466752984
4,4.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.997,1.0,6.6443964168024925
5,5.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.97,1.0,6.998738105885654
6,6.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.99,1.0,6.878671974232039
7,7.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.993,1.0,6.891817479009688
8,8.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,6.8756366418898
9,9.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.997,1.0,6.815538708676945
10,10.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,6.98129237345113
11,11.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.99,1.0,6.665704886189093
12,12.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.993,1.0,6.751294076816429
13,13.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.995,1.0,6.725333596653952
14,14.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.997,1.0,6.771459640392587
15,15.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,600.0,0.97,1.0,7.0783911648238975
16,16.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,600.0,0.99,1.0,6.902388069236096
17,17.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,600.0,0.993,1.0,6.89867121986563
18,18.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,600.0,0.995,1.0,6.8974641959350915
19,19.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,600.0,0.997,1.0,6.89551036180971
20,20.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,6.959942804612358
21,21.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,400.0,0.99,1.0,6.899601831391962
22,22.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,400.0,0.993,1.0,6.710909796151044
23,23.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,400.0,0.995,1.0,6.755877757947371
24,24.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,400.0,0.997,1.0,6.706187065900018
25,25.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,600.0,0.97,1.0,7.116211810367119
26,26.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,600.0,0.99,1.0,6.951848463353449
27,27.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,600.0,0.993,1.0,6.934433868133538
28,28.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,600.0,0.995,1.0,6.978221084008108
29,29.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,600.0,0.997,1.0,7.22481292145653
30,30.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,400.0,0.97,1.0,6.883598563321856
31,31.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,400.0,0.99,1.0,7.151386953854031
32,32.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,400.0,0.993,1.0,7.356167887731316
33,33.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,400.0,0.995,1.0,7.441966326256463
34,34.0,1.0,1.0,142.0,475.0,0.07,1.0,4.0,400.0,0.997,1.0,7.942508413269892
