,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,400.0,0.97,1.0,4.746905758817195
1,1.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,400.0,0.99,1.0,4.660896443817458
2,2.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,400.0,0.993,1.0,4.591227474214455
3,3.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,400.0,0.995,1.0,4.563635251421831
4,4.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,400.0,0.997,1.0,4.638237385659566
5,5.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,600.0,0.97,1.0,4.65317800627194
6,6.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,600.0,0.99,1.0,4.566426948317384
7,7.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,600.0,0.993,1.0,4.489105623115019
8,8.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,600.0,0.995,1.0,4.420199270068993
9,9.0,1.0,1.0,127.0,424.0,0.005,1.0,1.0,600.0,0.997,1.0,4.35140613405958
10,10.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,400.0,0.97,1.0,5.00165017339956
11,11.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,400.0,0.99,1.0,4.670501743190111
12,12.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,400.0,0.993,1.0,4.573325199128665
13,13.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,400.0,0.995,1.0,4.486726649313242
14,14.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,400.0,0.997,1.0,4.426092274562087
15,15.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,600.0,0.97,1.0,4.733815107386654
16,16.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,600.0,0.99,1.0,4.511890660015671
17,17.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,600.0,0.993,1.0,4.416515514182921
18,18.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,600.0,0.995,1.0,4.312429220351886
19,19.0,1.0,1.0,127.0,424.0,0.005,1.0,2.0,600.0,0.997,1.0,4.202613931200888
20,20.0,1.0,1.0,127.0,424.0,0.005,1.0,3.0,400.0,0.97,1.0,5.248617573388354
21,21.0,1.0,1.0,127.0,424.0,0.005,1.0,3.0,400.0,0.99,1.0,4.5982252461164554
22,22.0,1.0,1.0,127.0,424.0,0.005,1.0,3.0,400.0,0.993,1.0,4.491696245755318
23,23.0,1.0,1.0,127.0,424.0,0.005,1.0,3.0,400.0,0.995,1.0,4.391903174450424
24,24.0,1.0,1.0,127.0,424.0,0.005,1.0,3.0,400.0,0.997,1.0,4.3078794365505235
25,25.0,1.0,1.0,127.0,424.0,0.005,1.0,3.0,600.0,0.97,1.0,4.9638655034618795
