,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,0.0,10.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.6096919757706325
1,1.0,1.0,11.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.653859239150545
2,2.0,2.0,12.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.7177340621716572
3,3.0,3.0,13.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.779233465099783
4,4.0,4.0,14.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,3.1285751289273764
5,5.0,5.0,15.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.6366266752894547
6,6.0,6.0,16.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.4450375379028477
7,7.0,7.0,17.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.5389622431741112
8,8.0,8.0,18.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.7611752210217064
9,9.0,9.0,19.0,85.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.6801241751266205
10,0.0,0.0,10.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.391513049349357
11,1.0,1.0,11.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.461221002648666
12,2.0,2.0,12.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.27932096321843
13,3.0,3.0,13.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.412760646751897
14,4.0,4.0,14.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.6491379326198126
15,5.0,5.0,15.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.34521034000673
16,6.0,6.0,16.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.248556646949492
17,7.0,7.0,17.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.4090741440185517
18,8.0,8.0,18.0,171.0,190.0,0.03,1.0,3.0,600.0,0.99,1.0,2.5907915747167194
