,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,0.0,10.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.635795158853808
1,1.0,1.0,11.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,5.011723632673718
2,2.0,2.0,12.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.584187582162292
3,3.0,3.0,13.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.002140050412741
4,4.0,4.0,14.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.9608675648185425
5,5.0,5.0,15.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.0454148137450865
6,6.0,6.0,16.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.337571496670996
7,7.0,7.0,17.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.5925870958080304
8,8.0,8.0,18.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.2071242193399185
9,9.0,9.0,19.0,76.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.934817908243754
10,0.0,0.0,10.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.5541133519969845
11,1.0,1.0,11.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.679785893133581
12,2.0,2.0,12.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.5052180463847806
13,3.0,3.0,13.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.444475419802621
14,4.0,4.0,14.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.6325706291431055
15,5.0,5.0,15.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.6871583764091937
16,6.0,6.0,16.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.8619847186037104
17,7.0,7.0,17.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.4725444419699434
18,8.0,8.0,18.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.319779780648865
19,9.0,9.0,19.0,152.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.706624706178383
20,0.0,0.0,10.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3210942753973502
21,1.0,1.0,11.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.537094010244309
22,2.0,2.0,12.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.1006212685119476
23,3.0,3.0,13.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.403535486606392
24,4.0,4.0,14.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.0739725907178284
25,5.0,5.0,15.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.4072675171311917
26,6.0,6.0,16.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.0738715212758825
27,7.0,7.0,17.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.325914907210515
28,8.0,8.0,18.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.4882584649669415
29,9.0,9.0,19.0,228.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3675823511169516
30,0.0,0.0,10.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.212723367304772
31,1.0,1.0,11.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.4196311533608075
32,2.0,2.0,12.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.108280126519838
33,3.0,3.0,13.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.360690013503577
34,4.0,4.0,14.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.041373183743968
35,5.0,5.0,15.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3607905645662526
36,6.0,6.0,16.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.9595513364234076
37,7.0,7.0,17.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.286648078880349
38,8.0,8.0,18.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.1174268165814905
39,9.0,9.0,19.0,305.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.422110205684201
40,0.0,0.0,10.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.204971116771738
41,1.0,1.0,11.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.3616711501931595
42,2.0,2.0,12.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.068725450900829
43,3.0,3.0,13.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.329422184232143
44,4.0,4.0,14.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,2.969436074579549
45,5.0,5.0,15.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3188114352353715
46,6.0,6.0,16.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.960002640553753
47,7.0,7.0,17.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.102588672153951
48,8.0,8.0,18.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.0785740972691884
49,9.0,9.0,19.0,381.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3627516636254775
50,0.0,0.0,10.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.139621091491614
51,1.0,1.0,11.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.298972755326359
52,2.0,2.0,12.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.045929851780916
53,3.0,3.0,13.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.291366349834398
54,4.0,4.0,14.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,2.957629208410916
55,5.0,5.0,15.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3080462171687617
56,6.0,6.0,16.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.9458998551942415
57,7.0,7.0,17.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.00935374604237
58,8.0,8.0,18.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.0573484197921204
59,9.0,9.0,19.0,457.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3656346382669913
60,0.0,0.0,10.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.163550545014353
61,1.0,1.0,11.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.332032443977697
62,2.0,2.0,12.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.001207675719077
63,3.0,3.0,13.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.331941826467519
64,4.0,4.0,14.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,2.9587841370884025
65,5.0,5.0,15.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.3746242605724235
66,6.0,6.0,16.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.828418214521479
67,7.0,7.0,17.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.072049197226807
68,8.0,8.0,18.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,2.999182334987361
69,9.0,9.0,19.0,533.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.352337049366271
70,0.0,0.0,10.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.137859828248323
71,1.0,1.0,11.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,4.290704408521867
72,2.0,2.0,12.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,2.99054838718397
73,3.0,3.0,13.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.309181873474102
74,4.0,4.0,14.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,2.9163220290461003
75,5.0,5.0,15.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.349165828143052
76,6.0,6.0,16.0,610.0,170.0,0.07,1.0,3.0,600.0,0.997,1.0,3.866388597393379
