,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,0.0,10.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,80.61440803118192
1,1.0,1.0,11.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.15153458059129
2,2.0,2.0,12.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,72.87474643610119
3,3.0,3.0,13.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,91.79218841334341
4,4.0,4.0,14.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,75.34574182544907
5,5.0,5.0,15.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,70.18238012165779
6,6.0,6.0,16.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,91.65336754689321
7,7.0,7.0,17.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,96.09064312172542
8,8.0,8.0,18.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,78.57723813907397
9,9.0,9.0,19.0,85.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,71.45001868694719
10,0.0,0.0,10.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,77.42374275997355
11,1.0,1.0,11.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,70.375110199821
12,2.0,2.0,12.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,72.34723077929549
13,3.0,3.0,13.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,86.58055655020857
14,4.0,4.0,14.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,77.0364833373252
15,5.0,5.0,15.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,68.25908924999321
16,6.0,6.0,16.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,84.91557538740807
17,7.0,7.0,17.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,97.98046434730574
18,8.0,8.0,18.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,82.07904080959307
19,9.0,9.0,19.0,171.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,68.05553379288521
20,0.0,0.0,10.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,77.33488249004505
21,1.0,1.0,11.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.45822140446539
22,2.0,2.0,12.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,70.48530936220588
23,3.0,3.0,13.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,84.91103640750413
24,4.0,4.0,14.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,75.77978429074138
25,5.0,5.0,15.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,67.50038632106991
26,6.0,6.0,16.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,82.24453213853116
27,7.0,7.0,17.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,89.44122744757038
28,8.0,8.0,18.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,79.68702844386083
29,9.0,9.0,19.0,256.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,68.9398322645438
30,0.0,0.0,10.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,74.72372259595693
31,1.0,1.0,11.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,68.84413395537834
32,2.0,2.0,12.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.53960235017074
33,3.0,3.0,13.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,84.35238090175788
34,4.0,4.0,14.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,71.5280098281353
35,5.0,5.0,15.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.97111411416847
36,6.0,6.0,16.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,79.25625923123398
37,7.0,7.0,17.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,85.65530861650272
38,8.0,8.0,18.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,80.74371268980552
39,9.0,9.0,19.0,342.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.8374329130382
40,0.0,0.0,10.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,73.13440392098411
41,1.0,1.0,11.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.10555884187049
42,2.0,2.0,12.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,70.61126068499935
43,3.0,3.0,13.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,83.00118693434882
44,4.0,4.0,14.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,72.7563518349956
45,5.0,5.0,15.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.36910353126277
46,6.0,6.0,16.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,78.48013891759233
47,7.0,7.0,17.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,86.55526922449414
48,8.0,8.0,18.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,79.8145002203311
49,9.0,9.0,19.0,427.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.7776454924811
50,0.0,0.0,10.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,74.89034094356559
51,1.0,1.0,11.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,68.2088219733433
52,2.0,2.0,12.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,70.34691857806892
53,3.0,3.0,13.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,83.21726432525107
54,4.0,4.0,14.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.18426982551465
55,5.0,5.0,15.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,63.38282033158352
56,6.0,6.0,16.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,79.18691214631099
57,7.0,7.0,17.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,85.1463672229759
58,8.0,8.0,18.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,79.72567747816558
59,9.0,9.0,19.0,513.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,65.43744924950668
60,0.0,0.0,10.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,74.61558270280307
61,1.0,1.0,11.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.45049792835931
62,2.0,2.0,12.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.46214618430481
63,3.0,3.0,13.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,83.48965577954111
64,4.0,4.0,14.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,67.66147648731597
65,5.0,5.0,15.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,63.08412108551629
66,6.0,6.0,16.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,78.79021539515198
67,7.0,7.0,17.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,84.06452979597304
68,8.0,8.0,18.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,77.80534164178732
69,9.0,9.0,19.0,598.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,66.8018204322362
70,0.0,0.0,10.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,74.11458118323031
71,1.0,1.0,11.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,65.86842976768379
72,2.0,2.0,12.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,69.84412378755103
73,3.0,3.0,13.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,82.18412591487616
74,4.0,4.0,14.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,65.9415082213124
75,5.0,5.0,15.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.46801194787936
76,6.0,6.0,16.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,77.70478419931857
77,7.0,7.0,17.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,86.54468692485167
78,8.0,8.0,18.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,78.38838188514492
79,9.0,9.0,19.0,684.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,64.64758130747398
80,0.0,0.0,10.0,769.0,190.0,0.01,4.0,3.0,600.0,0.993,1.0,73.62539302069341
